filename,class,split
Normal/Normal- (2349).jpg,Normal,train
Tumor/Tumor- (1182).jpg,Tumor,train
Stone/Stone- (1376).jpg,Stone,train
Normal/Normal- (1457).jpg,Normal,train
Normal/Normal- (1040).jpg,Normal,train
Normal/Normal- (2923).jpg,Normal,train
Tumor/Tumor- (1190).jpg,Tumor,train
Normal/Normal- (2042).jpg,Normal,train
Normal/Normal- (2830).jpg,Normal,train
Normal/Normal- (2151).jpg,Normal,train
Stone/Stone- (1096).jpg,Stone,train
Normal/Normal- (2004).jpg,Normal,train
Cyst/Cyst- (1590).jpg,Cyst,train
Cyst/Cyst- (2416).jpg,Cyst,train
Normal/Normal- (1896).jpg,Normal,train
Cyst/Cyst- (1536).jpg,Cyst,train
Cyst/Cyst- (1452).jpg,Cyst,train
Cyst/Cyst- (1905).jpg,Cyst,train
Normal/Normal- (3138).jpg,Normal,train
Normal/Normal- (1991).jpg,Normal,train
Cyst/Cyst- (200).jpg,Cyst,train
Normal/Normal- (2407).jpg,Normal,train
Cyst/Cyst- (1566).jpg,Cyst,train
Stone/Stone- (1207).jpg,Stone,train
Normal/Normal- (3070).jpg,Normal,train
Cyst/Cyst- (1050).jpg,Cyst,train
Stone/Stone- (35).jpg,Stone,train
Cyst/Cyst- (1447).jpg,Cyst,train
Normal/Normal- (3233).jpg,Normal,train
Normal/Normal- (2795).jpg,Normal,train
Normal/Normal- (108).jpg,Normal,train
Stone/Stone- (247).jpg,Stone,train
Normal/Normal- (2592).jpg,Normal,train
Tumor/Tumor- (1117).jpg,Tumor,train
Cyst/Cyst- (1645).jpg,Cyst,train
Tumor/Tumor- (1679).jpg,Tumor,train
Tumor/Tumor- (1903).jpg,Tumor,train
Tumor/Tumor- (1378).jpg,Tumor,train
Normal/Normal- (189).jpg,Normal,train
Normal/Normal- (148).jpg,Normal,train
Stone/Stone- (1363).jpg,Stone,train
Cyst/Cyst- (1323).jpg,Cyst,train
Cyst/Cyst- (224).jpg,Cyst,train
Normal/Normal- (1607).jpg,Normal,train
Normal/Normal- (1740).jpg,Normal,train
Cyst/Cyst- (19).jpg,Cyst,train
Normal/Normal- (2831).jpg,Normal,train
Cyst/Cyst- (1695).jpg,Cyst,train
Cyst/Cyst- (1737).jpg,Cyst,train
Normal/Normal- (2537).jpg,Normal,train
Cyst/Cyst- (2018).jpg,Cyst,train
Tumor/Tumor- (1459).jpg,Tumor,train
Cyst/Cyst- (1147).jpg,Cyst,train
Normal/Normal- (2864).jpg,Normal,train
Normal/Normal- (1298).jpg,Normal,train
Normal/Normal- (1034).jpg,Normal,train
Normal/Normal- (2640).jpg,Normal,train
Tumor/Tumor- (1380).jpg,Tumor,train
Normal/Normal- (3084).jpg,Normal,train
Tumor/Tumor- (171).jpg,Tumor,train
Cyst/Cyst- (1775).jpg,Cyst,train
Normal/Normal- (2420).jpg,Normal,train
Cyst/Cyst- (2123).jpg,Cyst,train
Cyst/Cyst- (2247).jpg,Cyst,train
Normal/Normal- (1201).jpg,Normal,train
Normal/Normal- (2382).jpg,Normal,train
Stone/Stone- (218).jpg,Stone,train
Cyst/Cyst- (1647).jpg,Cyst,train
Tumor/Tumor- (1394).jpg,Tumor,train
Normal/Normal- (1670).jpg,Normal,train
Cyst/Cyst- (2405).jpg,Cyst,train
Tumor/Tumor- (1897).jpg,Tumor,train
Cyst/Cyst- (1313).jpg,Cyst,train
Stone/Stone- (1336).jpg,Stone,train
Normal/Normal- (1378).jpg,Normal,train
Tumor/Tumor- (1652).jpg,Tumor,train
Tumor/Tumor- (1727).jpg,Tumor,train
Normal/Normal- (29).jpg,Normal,train
Normal/Normal- (1349).jpg,Normal,train
Tumor/Tumor- (1553).jpg,Tumor,train
Tumor/Tumor- (1921).jpg,Tumor,train
Cyst/Cyst- (1484).jpg,Cyst,train
Tumor/Tumor- (100).jpg,Tumor,train
Normal/Normal- (243).jpg,Normal,train
Cyst/Cyst- (2381).jpg,Cyst,train
Cyst/Cyst- (2638).jpg,Cyst,train
Normal/Normal- (1528).jpg,Normal,train
Normal/Normal- (2660).jpg,Normal,train
Tumor/Tumor- (1774).jpg,Tumor,train
Normal/Normal- (313).jpg,Normal,train
Normal/Normal- (1564).jpg,Normal,train
Cyst/Cyst- (1390).jpg,Cyst,train
Tumor/Tumor- (1069).jpg,Tumor,train
Cyst/Cyst- (2459).jpg,Cyst,train
Normal/Normal- (1316).jpg,Normal,train
Stone/Stone- (1162).jpg,Stone,train
Normal/Normal- (2478).jpg,Normal,train
Cyst/Cyst- (2082).jpg,Cyst,train
Normal/Normal- (2575).jpg,Normal,train
Normal/Normal- (3235).jpg,Normal,train
Cyst/Cyst- (1002).jpg,Cyst,train
Stone/Stone- (281).jpg,Stone,train
Tumor/Tumor- (1808).jpg,Tumor,train
Normal/Normal- (3223).jpg,Normal,train
Tumor/Tumor- (1717).jpg,Tumor,train
Normal/Normal- (1028).jpg,Normal,train
Cyst/Cyst- (1551).jpg,Cyst,train
Tumor/Tumor- (1490).jpg,Tumor,train
Normal/Normal- (3093).jpg,Normal,train
Normal/Normal- (2021).jpg,Normal,train
Normal/Normal- (1072).jpg,Normal,train
Normal/Normal- (2211).jpg,Normal,train
Normal/Normal- (1601).jpg,Normal,train
Cyst/Cyst- (2597).jpg,Cyst,train
Cyst/Cyst- (1524).jpg,Cyst,train
Normal/Normal- (1876).jpg,Normal,train
Normal/Normal- (2321).jpg,Normal,train
Tumor/Tumor- (1739).jpg,Tumor,train
Stone/Stone- (345).jpg,Stone,train
Cyst/Cyst- (2645).jpg,Cyst,train
Cyst/Cyst- (1719).jpg,Cyst,train
Stone/Stone- (111).jpg,Stone,train
Normal/Normal- (2338).jpg,Normal,train
Cyst/Cyst- (235).jpg,Cyst,train
Stone/Stone- (1105).jpg,Stone,train
Normal/Normal- (236).jpg,Normal,train
Normal/Normal- (1011).jpg,Normal,train
Normal/Normal- (1883).jpg,Normal,train
Cyst/Cyst- (223).jpg,Cyst,train
Cyst/Cyst- (1218).jpg,Cyst,train
Tumor/Tumor- (1564).jpg,Tumor,train
Normal/Normal- (1337).jpg,Normal,train
